epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.75233,1.58081,3.03104,1.56171,0.42321,0.06235,0.05963,0.05308,1.78518,3.4848,1.5556,0,0,0
2,4.43099,2.08327,3.48099,1.78083,0.44369,0.06235,0.05939,0.05305,1.76816,3.49666,1.54426,1.65875e-05,1.65875e-05,1.65875e-05
3,5.92022,2.11451,3.54548,1.83302,0.42705,0.06235,0.05928,0.05301,1.75734,3.49668,1.54078,3.30099e-05,3.30099e-05,3.30099e-05
4,7.07885,2.29358,3.64411,1.88708,0.44815,0.06235,0.05967,0.05321,1.7449,3.50255,1.5316,4.92674e-05,4.92674e-05,4.92674e-05
5,8.28769,1.87964,3.65893,1.72382,0.12447,0.27104,0.14119,0.09409,1.72142,4.63152,1.4673,6.53597e-05,6.53597e-05,6.53597e-05
6,10.7998,1.82824,2.48299,1.57383,0.13808,0.28591,0.15757,0.10503,1.72018,4.50959,1.45975,8.12871e-05,8.12871e-05,8.12871e-05
7,13.2232,1.77094,2.19945,1.56262,0.14802,0.68339,0.31961,0.22592,1.53266,17.1942,1.38919,9.70494e-05,9.70494e-05,9.70494e-05
8,15.63,1.85157,3.87533,1.50284,0.15322,0.68339,0.32049,0.22838,1.53797,16.4427,1.39561,0.000112647,0.000112647,0.000112647
9,18.0373,1.58556,3.07064,1.35623,0.41657,0.32261,0.29653,0.20474,1.64875,3.41085,1.4991,0.000128079,0.000128079,0.000128079
10,19.6074,1.45535,1.958,1.36313,0.2963,0.45831,0.32183,0.22323,1.50183,3.02132,1.38024,0.000143346,0.000143346,0.000143346
11,21.2053,1.53213,2.13719,1.3673,0.28309,0.59167,0.35994,0.24051,1.4574,3.37037,1.34592,0.000158448,0.000158448,0.000158448
12,23.6204,1.34752,1.63422,1.26393,0.32624,0.32078,0.2576,0.14602,1.50628,4.8736,1.34858,0.000173386,0.000173386,0.000173386
13,25.224,1.27457,1.61328,1.23979,0.42703,0.43705,0.37764,0.25235,1.49472,4.78306,1.36483,0.000188158,0.000188158,0.000188158
14,27.684,1.22358,1.59859,1.20185,0.21423,0.4673,0.32933,0.23741,1.47049,9.89991,1.37051,0.000202765,0.000202765,0.000202765
15,29.3076,1.24392,1.63487,1.15173,0.1322,0.47165,0.10741,0.06252,1.52357,15.7568,1.37864,0.000217207,0.000217207,0.000217207
16,30.959,1.39477,1.85494,1.30344,0.10854,0.52826,0.09331,0.05572,1.45105,22.9742,1.29213,0.000231484,0.000231484,0.000231484
17,32.5771,1.50004,1.59414,1.24082,0.05027,0.60035,0.04305,0.02262,1.49757,inf,1.32357,0.000245596,0.000245596,0.000245596
18,34.1865,1.35227,1.77254,1.24757,0.04335,0.71878,0.03598,0.02034,1.42278,inf,1.40531,0.000259543,0.000259543,0.000259543
19,35.792,1.44239,1.55241,1.31824,0.03674,0.67478,0.03152,0.01782,1.48961,inf,1.50071,0.000273325,0.000273325,0.000273325
20,37.3331,1.35322,1.91132,1.25965,0.03756,0.76548,0.03031,0.01681,1.45802,inf,1.44965,0.000286942,0.000286942,0.000286942
21,38.907,1.42095,1.64781,1.21117,0.0336,0.74504,0.02715,0.01324,1.58422,inf,1.60252,0.000300393,0.000300393,0.000300393
22,40.52,1.33206,1.39657,1.21331,0.03427,0.75078,0.02645,0.01124,1.77927,inf,2.58989,0.00031368,0.00031368,0.00031368
23,42.1274,1.52569,1.61159,1.39103,0.02651,0.63757,0.01694,0.00779,1.76072,inf,5.62622,0.000326802,0.000326802,0.000326802
