epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.298,1.51818,0.77697,1.11501,0.85081,0.75088,0.79877,0.4687,1.41931,0.70255,1.04693,0.000666342,0.000666342,0.000666342
2,334.751,1.44444,0.68964,1.07225,0.88069,0.79206,0.84607,0.50447,1.35201,0.6241,1.01815,0.00120104,0.00120104,0.00120104
3,498.143,1.41113,0.65599,1.05358,0.87619,0.80618,0.85389,0.5142,1.33933,0.62175,1.00998,0.00160374,0.00160374,0.00160374
4,661.09,1.37998,0.6288,1.03679,0.89289,0.82035,0.86833,0.5312,1.32046,0.59039,1.00024,0.001406,0.001406,0.001406
5,826.134,1.36134,0.61135,1.02753,0.89887,0.83116,0.87921,0.5375,1.31615,0.57616,0.99857,0.001208,0.001208,0.001208
6,990.437,1.3427,0.59216,1.01826,0.90362,0.83854,0.88373,0.54754,1.29305,0.54938,0.98874,0.00101,0.00101,0.00101
7,1154.51,1.32823,0.57887,1.01122,0.9055,0.8412,0.88627,0.55112,1.28752,0.54406,0.9868,0.000812,0.000812,0.000812
8,1318.75,1.31456,0.56513,1.00559,0.90799,0.84398,0.89398,0.55473,1.28187,0.53714,0.98311,0.000614,0.000614,0.000614
9,1483.85,1.30215,0.55018,1.00118,0.90883,0.85133,0.89709,0.5608,1.27434,0.52697,0.97901,0.000416,0.000416,0.000416
10,1669.6,1.29147,0.53942,0.99621,0.9118,0.85486,0.89942,0.56553,1.26585,0.51602,0.97547,0.000218,0.000218,0.000218
