epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.445,1.47449,0.72848,1.08218,0.86836,0.78568,0.83546,0.48877,1.39865,0.66515,1.03707,0.000666018,0.000666018,0.000666018
2,221.287,1.4363,0.6961,1.061,0.87783,0.7912,0.83789,0.50072,1.36747,0.65033,1.01865,0.00120075,0.00120075,0.00120075
3,328.497,1.40991,0.66745,1.0447,0.88505,0.80133,0.85161,0.51118,1.35239,0.62141,1.01059,0.00160348,0.00160348,0.00160348
4,435.33,1.37792,0.63823,1.03136,0.892,0.81369,0.86641,0.52868,1.32379,0.60623,0.99479,0.001406,0.001406,0.001406
5,541.561,1.36329,0.61952,1.02302,0.90037,0.82507,0.87794,0.53558,1.31637,0.58878,0.99434,0.001208,0.001208,0.001208
6,646.614,1.3458,0.60244,1.01432,0.89847,0.82694,0.87746,0.53749,1.31261,0.57549,0.99229,0.00101,0.00101,0.00101
7,752.879,1.33075,0.58808,1.0087,0.90526,0.83815,0.88576,0.54566,1.2975,0.55843,0.98614,0.000812,0.000812,0.000812
8,859.677,1.31862,0.57356,1.00241,0.90603,0.84049,0.89222,0.5533,1.28663,0.54627,0.98133,0.000614,0.000614,0.000614
9,967.484,1.3045,0.56068,0.99874,0.90679,0.84827,0.89435,0.55792,1.27822,0.54162,0.97675,0.000416,0.000416,0.000416
10,1076.05,1.2938,0.54919,0.993,0.91166,0.84945,0.89667,0.56211,1.27216,0.52682,0.97356,0.000218,0.000218,0.000218
