epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.3014,1.81044,1.29495,1.11579,0.79755,0.70177,0.73485,0.39875,1.56501,0.82404,1.05004,0.00066537,0.00066537,0.00066537
2,113.52,1.57113,0.81112,1.02707,0.84351,0.74595,0.7884,0.44803,1.48598,0.75233,1.02624,0.00130566,0.00130566,0.00130566
3,167.229,1.5324,0.77705,1.01641,0.84824,0.75314,0.80097,0.44068,1.48755,0.74279,1.02931,0.00191955,0.00191955,0.00191955
4,220.615,1.50874,0.75682,1.01012,0.85224,0.76422,0.81828,0.46578,1.45584,0.72401,1.01819,0.0018812,0.0018812,0.0018812
5,274.178,1.48927,0.73413,1.00108,0.8637,0.77704,0.83133,0.48266,1.41442,0.6973,1.00049,0.0018416,0.0018416,0.0018416
6,327.993,1.48118,0.72598,0.99756,0.86258,0.76707,0.81986,0.48105,1.4144,0.68269,1.00156,0.001802,0.001802,0.001802
7,381.135,1.46484,0.71184,0.99492,0.86883,0.78121,0.83536,0.4893,1.40679,0.68687,0.99556,0.0017624,0.0017624,0.0017624
8,434.359,1.45332,0.70223,0.99071,0.87285,0.78115,0.83809,0.49254,1.39451,0.67599,0.9917,0.0017228,0.0017228,0.0017228
9,487.66,1.44731,0.69745,0.98716,0.86914,0.7817,0.8354,0.49133,1.39845,0.6619,0.99784,0.0016832,0.0016832,0.0016832
10,540.982,1.44316,0.69113,0.98491,0.88162,0.79233,0.84052,0.49625,1.40071,0.6566,0.99206,0.0016436,0.0016436,0.0016436
11,594.488,1.43827,0.68485,0.98361,0.88539,0.80021,0.85139,0.50652,1.37282,0.64341,0.98369,0.001604,0.001604,0.001604
12,647.877,1.42897,0.67595,0.98002,0.88516,0.80676,0.85408,0.51003,1.37076,0.63589,0.98339,0.0015644,0.0015644,0.0015644
13,701.307,1.42078,0.66921,0.97823,0.8877,0.80677,0.85457,0.51102,1.36707,0.63647,0.98025,0.0015248,0.0015248,0.0015248
14,754.87,1.42464,0.66992,0.97814,0.8854,0.80712,0.85249,0.51032,1.36096,0.63361,0.98112,0.0014852,0.0014852,0.0014852
15,807.898,1.41386,0.66455,0.97714,0.8807,0.80598,0.85996,0.51164,1.36328,0.63832,0.97939,0.0014456,0.0014456,0.0014456
16,861.062,1.41446,0.66318,0.976,0.88982,0.81028,0.8618,0.51784,1.3544,0.62142,0.97639,0.001406,0.001406,0.001406
17,914.048,1.413,0.66182,0.97535,0.88471,0.80604,0.85867,0.51309,1.35911,0.6342,0.97694,0.0013664,0.0013664,0.0013664
18,967.53,1.40793,0.65686,0.97393,0.89317,0.81146,0.86388,0.51981,1.34954,0.61701,0.97485,0.0013268,0.0013268,0.0013268
19,1020.46,1.40744,0.65481,0.97375,0.89219,0.81395,0.86275,0.51975,1.35049,0.60823,0.97695,0.0012872,0.0012872,0.0012872
20,1073.29,1.39718,0.64994,0.97293,0.89658,0.81069,0.86756,0.52345,1.34578,0.61212,0.97443,0.0012476,0.0012476,0.0012476
21,1126.49,1.39954,0.64813,0.97208,0.89056,0.81698,0.86372,0.52131,1.34763,0.60697,0.97512,0.001208,0.001208,0.001208
22,1179.8,1.39182,0.64271,0.96872,0.89623,0.81458,0.86698,0.52401,1.34356,0.61151,0.97319,0.0011684,0.0011684,0.0011684
23,1232.88,1.39459,0.64422,0.9707,0.89415,0.81536,0.86761,0.5232,1.34541,0.60631,0.97459,0.0011288,0.0011288,0.0011288
24,1286.49,1.39313,0.64007,0.96593,0.8953,0.81809,0.86817,0.52414,1.3435,0.60845,0.97292,0.0010892,0.0010892,0.0010892
25,1340.22,1.38919,0.63952,0.96646,0.89479,0.81906,0.86872,0.52533,1.33859,0.60099,0.97247,0.0010496,0.0010496,0.0010496
26,1393.38,1.38685,0.63661,0.96524,0.89781,0.82047,0.86906,0.52802,1.33459,0.59877,0.96929,0.00101,0.00101,0.00101
27,1446.9,1.3809,0.63171,0.96566,0.89706,0.82214,0.8709,0.52834,1.33935,0.59531,0.97006,0.0009704,0.0009704,0.0009704
28,1500.22,1.38508,0.63171,0.96504,0.89882,0.82158,0.87256,0.52911,1.33692,0.59422,0.9703,0.0009308,0.0009308,0.0009308
