epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.8976,1.28543,0.54935,0.96894,0.90752,0.85125,0.89311,0.55262,1.2933,0.55113,0.96226,0.00066537,0.00066537,0.00066537
2,142.548,1.29558,0.56131,0.9729,0.90672,0.84706,0.89176,0.54813,1.30096,0.57843,0.96404,0.00120016,0.00120016,0.00120016
3,206.322,1.30615,0.56968,0.97648,0.90486,0.8445,0.89313,0.54825,1.30283,0.55744,0.96624,0.00160296,0.00160296,0.00160296
4,268.552,1.30333,0.56894,0.97565,0.90769,0.8396,0.88451,0.54724,1.30534,0.56388,0.96547,0.001406,0.001406,0.001406
5,330.01,1.30051,0.56408,0.97353,0.90838,0.84367,0.89197,0.55071,1.29723,0.55783,0.96331,0.001208,0.001208,0.001208
6,391.345,1.29252,0.55697,0.96974,0.90704,0.8461,0.89065,0.55019,1.29613,0.55224,0.96433,0.00101,0.00101,0.00101
7,453.435,1.28617,0.55031,0.96907,0.91323,0.84765,0.89607,0.55607,1.28648,0.5465,0.95972,0.000812,0.000812,0.000812
8,514.967,1.27769,0.54073,0.96479,0.91134,0.8505,0.89656,0.55795,1.29049,0.53889,0.96146,0.000614,0.000614,0.000614
9,576.55,1.27384,0.53617,0.96399,0.91063,0.85586,0.89735,0.55921,1.28204,0.53147,0.95797,0.000416,0.000416,0.000416
10,638.674,1.26805,0.53031,0.96183,0.91126,0.85544,0.89641,0.56063,1.27757,0.52799,0.95691,0.000218,0.000218,0.000218
